id,raw_id,japanese,hiragana,chinese,level,pos,example_1,gloss_1,example_2,gloss_2,example_3,gloss_3,is_delisted
10001,N1_0001,相容れない,あいいれない,不相容，互不两立,N1,連語,相[あ]い容[い]れない関[かん]係[けい],互不两立的关系,両[りょう]者[しゃ]は相[あ]い容[い]れない。,双方互不相容。,性[せい]格[かく]が相[あ]い容[い]れない。,性格不合。,false
10002,N1_0002,愛顧,あいこ,关照，思顾,N1,名*他動3,長[なが]らくご愛[あい]顧[こ]いただきました。,感谢您的长期惠顾。,ご愛[あい]顧[こ]のほどお願[ねが]いします。,敬请惠顾。,お客[きゃく]様[さま]の愛[あい]顧[こ]に感[かん]謝[しゃ]します。,感谢顾客的惠顾。,false
10003,N1_0003,相席,あいせき,（在餐厅）拼桌,N1,名*自動3,ご相[あい]席[せき]をお愿[ねが]いします。,麻烦您与其他客人拼桌。,相[あい]席[せき]でもいいですか。,拼桌可以吗？,混[こ]んでいるので相[あい]席[せき]になります。,因为人多所以需要拼桌。,false
10004,N1_0004,相槌,あいづち,随声附和,N1,名,相[あい]槌[づち]を打[う]つ。,随声附和。,话[はなし]に相[あい]槌[づち]を打[う]つ。,附和对方的话。,适[てき]当[とう]に相[あい]槌[づち]を打[う]つ。,敷衍地应和。,false
10005,N1_0005,idol,アイドル,偶像,N1,名,アイドル歌[か]手[しゅ],偶像歌手,国[こく]民[みん]的[てき]アイドル,国民偶像,アイドルグループ,偶像组合,false
10006,N1_0006,青写真,あおじゃしん,蓝图；初步计划,N1,名,再[さい]建[けん]の青[あお]写[じゃ]真[しん]を作[つく]る。,制作重建的蓝图。,将[しょう]来[らい]の青[あお]写[じゃ]真[しん]を描[えが]く。,描绘未来的蓝图。,プロジェクトの青[あお]写[じゃ]真[しん],项目蓝图,false
10007,N1_0007,垢,あか,水垢，污垢,N1,名,垢[あか]が拔[ぬ]ける。,不土气，脱俗。,垢[あか]を落[お]とす。,去除污垢。,风[ふ]吕[ろ]の垢[あか],浴缸的水垢,false
10008,N1_0008,academic,アカデミック,学术的；墨守成规的,N1,ナ形,アカデミックな雰[ふん]围[い]气[き],学术氛围,アカデミックな研[けん]究[きゅう],学术研究,アカデミック论[ろん]文[ぶん],学术论文,false
10009,N1_0009,赤らむ,あからむ,发红；脸红（因兴奋，害羞等）,N1,自動1,顔[かお]が赤[あか]らむ。,脸红。,恥[は]ずかしくて顔[かお]が赤[あか]らむ。,因为害羞而脸红。,空[そら]が赤[あか]らむ。,天空泛红。,false
10010,N1_0010,空き巣,あきす,（没有人的）空宅，空房,N1,名,空[あ]き巣[す]被[ひ]害[がい],人不在时家里遭盗窃,空[あ]き巣[す]に入[はい]られる。,遭遇入室盗窃。,空[あ]き巣[す]狙[ねら]い,趁人不在行窃,false
10011,N1_0011,秋晴れ,あきばれ,秋天的晴天,N1,名,秋[あき]晴[ば]れの天[てん]気[き],秋高气爽的天气,秋[あき]晴[ば]れの空[そら],秋天的晴空,秋[あき]晴[ば]れが续[つづ]く。,秋日晴天持续。,false
10012,N1_0012,諦め,あきらめ,断念，达观,N1,名,諦[あきら]めがつく。,死心，想开。,諦[あきら]めが悪[わる]い。,不死心。,諦[あきら]めの心[しん]境[きょう],达观的心境,false
10013,N1_0013,悪～,あく～,恶性······，坏,N1,接頭,悪[あく]循[じゅん]環[かん],恶性循环,悪[あく]影[えい]響[きょう],坏影响,悪[あく]条[じょう]件[けん],恶劣条件,false
10014,N1_0014,あくどい,あくどい,（颜色）过艳；（味道）过浓；（手段）恶劣,N1,イ形,あくどい色[いろ],色彩过艳,あくどい味[あじ],味道过浓,あくどい手[て]口[ぐち],恶劣的手段,false
10015,N1_0015,悪徳,あくとく,缺德，不道德,N1,名,悪[あく]徳[とく]商[しょう]法[ほう],不道徳的经商方法,悪[あく]徳[とく]業[ぎょう]者[しゃ],黑心商家,悪[あく]徳[とく]医[い]者[しゃ],黑心医生,false
10016,N1_0016,憧れる,あこがれる,憧憬，向往,N1,自動2,都[と]会[かい]の生[せい]活[かつ]に憧[あこが]れる。,憧憬都市生活。,芸[げい]能[のう]人[じん]に憧[あこが]れる。,憧憬艺人。,憧[あこが]れの職[しょく]業[ぎょう],憧憬的职业,false
10017,N1_0017,浅ましい,あさましい,卑鄙的；贪婪的；凄惨的,N1,イ形,財[ざい]産[さん]目[me]当[あ]てで結[けっ]婚[こん]するなんて浅[あさ]ましい。,贪图人家的财产結婚，真够卑鄙的。,浅[あさ]ましい世[よ]の中[なか],世态炎凉,浅[あさ]ましい根[こん]性[じょう],卑劣的品性,false
10018,N1_0018,あざ笑う,あざわらう,嘲笑,N1,他動1,人[ひと]の失[しっ]敗[ぱい]をあざ笑[わら]う。,嘲笑别人的失敗。,相[あい]手[て]をあざ笑[わら]う。,嘲笑对方。,弱[じゃく]者[しゃ]をあざ笑[わら]う。,嘲笑弱者。,false
10019,N1_0019,足取り,あしどり,脚步，步伐；行踪,N1,名,警[けい]察[さつ]が犯[はん]人[にん]の足[あし]取[ど]りを追[お]っている。,警察在寻找罪犯的行踪。,軽[かる]い足[あし]取[ど]り,轻快的步伐,足[あし]取[ど]りが重[おも]い。,步伐沉重。,false
10020,N1_0020,値,あたい,价格，价钱；价值,N1,名,値[あたい]をつける。,标注价格。,一[いち]読[どく]の値[あたい]がある。,值得ー读。,その値[あたい]で売[う]る。,以那个价格出售。,false
10021,N1_0021,attack,アタック,攻击；挑战,N1,名*自動3,頂[ちょう]上[じょう]にアタックする。,向山顶发起挑战。,アタックをかける。,发起攻击。,最[さい]後[ご]のアタック,最后的冲刺,false
10022,N1_0022,穴埋め,あなうめ,填空；填补，弥补,N1,名*他動3,赤[あか]字[じ]を穴[あな]埋[う]めする。,弥补赤字。,穴[あな]埋[う]め問[もん]題[だい],填空题,損[そん]失[しつ]の穴[あな]埋[う]め,弥补损失,false
10023,N1_0023,あだな,あだな,绰号，外号,N1,名,人[ひと]にあだなをつける。,给人起外号。,あだなで呼[よ]ぶ。,用绰号称呼。,あだなが流[りゅう]行[こう]る。,绰号流行起来。,false
10024,N1_0024,当たり,あたり,命中，中奖,N1,名,大[おお]当[あ]たり,大成功；中头彩,当[あ]たりを引[ひ]く。,抽中。,当[あ]たりくじ,中奖彩票,false
10025,N1_0025,扱い,あつかい,操作，处理；对待,N1,名,機[き]械[かい]の扱[あつか]いが荒[あら]い。,粗鲁地操作机器。,人[ひと]の扱[あつか]いが上[じょう]手[ず]だ。,善于待人接物。,丁[てい]寧[ねい]な扱[あつか]い,细心的处理,false
10026,N1_0026,圧倒的,あっとうてき,绝对的（处于优势）,N1,ナ形,圧[あっ]倒[とう]的[てき]な勝[しょう]利[り],以压倒性的优势获胜,圧[あっ]倒[とう]的[てき]な支[し]持[じ],压倒性的支持,圧[あっ]倒[とう]的[てき]に強[つよ]い。,压倒性地强大。,false
10027,N1_0027,圧迫,あっぱく,压迫，压制,N1,名*他動3,ローンの返[へん]済[さい]が家[か]計[けい]を圧[あっ]迫[ぱく]している。,（还）房贷给家庭开支带来了压力。,精[せい]神[しん]的[てき]に圧[あっ]迫[ぱく]される。,精神上受到压迫。,圧[あっ]迫[ぱく]感[かん]を感[かん]じる。,感到压迫感。,false
10028,N1_0028,アップ,アップ,提高，增高,N1,名*自他動3,イメージアップ,提升形象,作[さ]業[ぎょう]の効[こう]率[りつ]がアップした。,工作效率提高了。,給[きゅう]料[りょう]がアップする。,工资上涨。,false
10029,N1_0029,当て,あて,目标；期待，指望,N1,名,人[ひと]を当[あ]てにする。,指望别人，依赖别人。,当[あ]てが外[はず]れる。,期望落空。,当[あ]てもなく歩[ある]く。,漫无目的地走。,false
